"domain,""date"",""plUrls"",""views"",""clicks"",""ctr"",""revenue"",""epc"",""rpm"",""percentFinalised"",""percentEstimate"",""percentForecast"",""Status"""
"link-lockdown.com,""16-May-2015"",""8.0"",""6"",""4"",""66.66"",""0.01"",""0.0"",""1.66"",""100.0"",""0.0"",""0.0"",""Final"""
"linklockdown.com,""16-May-2015"",""16.0"",""14"",""10"",""71.42"",""0.02"",""0.0"",""1.42"",""100.0"",""0.0"",""0.0"",""Final"""
"littlelambfloorbeds.com,""16-May-2015"",""1.0"",""18"",""14"",""77.77"",""0.02"",""0.0"",""1.11"",""100.0"",""0.0"",""0.0"",""Final"""
"liverestaurantdelivery.com,""16-May-2015"",""12.0"",""11"",""4"",""36.36"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"loveisanoption.com,""16-May-2015"",""29.0"",""15"",""7"",""46.66"",""0.02"",""0.0"",""1.33"",""100.0"",""0.0"",""0.0"",""Final"""
"lpgen.net,""16-May-2015"",""20.0"",""14"",""11"",""78.57"",""0.03"",""0.0"",""2.14"",""100.0"",""0.0"",""0.0"",""Final"""
"lpgen.org,""16-May-2015"",""13.0"",""25"",""12"",""48.0"",""0.06"",""0.0"",""2.4"",""100.0"",""0.0"",""0.0"",""Final"""
"luxuryhotelsinbarcelona.com,""16-May-2015"",""251.0"",""228"",""184"",""80.7"",""1.14"",""0.0"",""5.0"",""100.0"",""0.0"",""0.0"",""Final"""
"mailerpark.com,""16-May-2015"",""14.0"",""16"",""14"",""87.5"",""0.02"",""0.0"",""1.25"",""100.0"",""0.0"",""0.0"",""Final"""
"mediabuyingsumo.info,""16-May-2015"",""11.0"",""12"",""10"",""83.33"",""0.02"",""0.0"",""1.66"",""100.0"",""0.0"",""0.0"",""Final"""
"mediabuys101.com,""16-May-2015"",""34.0"",""15"",""2"",""13.33"",""0.01"",""0.0"",""0.66"",""100.0"",""0.0"",""0.0"",""Final"""
"menshoesmag.com,""16-May-2015"",""14.0"",""11"",""6"",""54.54"",""0.05"",""0.0"",""4.54"",""100.0"",""0.0"",""0.0"",""Final"""
"michaelkorshandbags2013.net,""16-May-2015"",""106.0"",""116"",""43"",""37.06"",""3.19"",""0.07"",""27.5"",""100.0"",""0.0"",""0.0"",""Final"""
"modelplanesthatfly.com,""16-May-2015"",""15.0"",""11"",""8"",""72.72"",""0.03"",""0.0"",""2.72"",""100.0"",""0.0"",""0.0"",""Final"""
"monthlymarkets.com,""16-May-2015"",""18.0"",""15"",""8"",""53.33"",""0.04"",""0.0"",""2.66"",""100.0"",""0.0"",""0.0"",""Final"""
"mostluxurioushotels.com,""16-May-2015"",""99.0"",""83"",""74"",""89.15"",""0.73"",""0.0"",""8.79"",""100.0"",""0.0"",""0.0"",""Final"""
"mulberry4lady.com,""16-May-2015"",""140.0"",""103"",""81"",""78.64"",""0.65"",""0.0"",""6.31"",""100.0"",""0.0"",""0.0"",""Final"""
"napahotelreviews.com,""16-May-2015"",""13.0"",""13"",""9"",""69.23"",""0.04"",""0.0"",""3.07"",""100.0"",""0.0"",""0.0"",""Final"""
"njectskincare.com,""16-May-2015"",""14.0"",""10"",""6"",""60.0"",""0.05"",""0.0"",""5.0"",""100.0"",""0.0"",""0.0"",""Final"""
"norascookiekitchen.com,""16-May-2015"",""15.0"",""9"",""1"",""11.11"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"oilsforhairgrowth.com,""16-May-2015"",""19.0"",""13"",""4"",""30.76"",""0.01"",""0.0"",""0.76"",""100.0"",""0.0"",""0.0"",""Final"""
"oldlasvegaswine.com,""16-May-2015"",""21.0"",""16"",""12"",""75.0"",""0.04"",""0.0"",""2.5"",""100.0"",""0.0"",""0.0"",""Final"""
"onlinepaydayloansforbadcreditt.com,""16-May-2015"",""14.0"",""9"",""9"",""100.0"",""0.21"",""0.02"",""23.33"",""100.0"",""0.0"",""0.0"",""Final"""
"onlinepokercloud.com,""16-May-2015"",""10.0"",""13"",""9"",""69.23"",""0.04"",""0.0"",""3.07"",""100.0"",""0.0"",""0.0"",""Final"""
"oolette.com,""16-May-2015"",""18.0"",""10"",""10"",""100.0"",""0.14"",""0.01"",""14.0"",""100.0"",""0.0"",""0.0"",""Final"""
"oxyfreshwaterexpert.com,""16-May-2015"",""30.0"",""19"",""12"",""63.15"",""0.04"",""0.0"",""2.1"",""100.0"",""0.0"",""0.0"",""Final"""
"paceairline.com,""16-May-2015"",""243.0"",""151"",""98"",""64.9"",""1.04"",""0.01"",""6.88"",""100.0"",""0.0"",""0.0"",""Final"""
"pagecloak.com,""16-May-2015"",""17.0"",""9"",""6"",""66.66"",""0.07"",""0.01"",""7.77"",""100.0"",""0.0"",""0.0"",""Final"""
"pampercat.com,""16-May-2015"",""16.0"",""14"",""11"",""78.57"",""0.01"",""0.0"",""0.71"",""100.0"",""0.0"",""0.0"",""Final"""
"papayatablets.com,""16-May-2015"",""7.0"",""12"",""2"",""16.66"",""0.01"",""0.0"",""0.83"",""100.0"",""0.0"",""0.0"",""Final"""
"parrothelicopter.com,""16-May-2015"",""233.0"",""127"",""65"",""51.18"",""0.38"",""0.0"",""2.99"",""100.0"",""0.0"",""0.0"",""Final"""
"passiveadscash.com,""16-May-2015"",""12.0"",""9"",""5"",""55.55"",""0.01"",""0.0"",""1.11"",""100.0"",""0.0"",""0.0"",""Final"""
"payperclickformula3.com,""16-May-2015"",""13.0"",""7"",""6"",""85.71"",""0.01"",""0.0"",""1.42"",""100.0"",""0.0"",""0.0"",""Final"""
"pershingsoccer.com,""16-May-2015"",""32.0"",""14"",""6"",""42.85"",""0.03"",""0.0"",""2.14"",""100.0"",""0.0"",""0.0"",""Final"""
"personalfitnesssanjose.com,""16-May-2015"",""58.0"",""15"",""3"",""20.0"",""0.01"",""0.0"",""0.66"",""100.0"",""0.0"",""0.0"",""Final"""
"phoenixlights.net,""16-May-2015"",""16.0"",""12"",""12"",""100.0"",""0.02"",""0.0"",""1.66"",""100.0"",""0.0"",""0.0"",""Final"""
"ppcf3.com,""16-May-2015"",""288.0"",""298"",""195"",""65.43"",""2.34"",""0.01"",""7.85"",""100.0"",""0.0"",""0.0"",""Final"""
"ppcformula3.com,""16-May-2015"",""14.0"",""12"",""9"",""75.0"",""0.02"",""0.0"",""1.66"",""100.0"",""0.0"",""0.0"",""Final"""
"preownedtablet.com,""16-May-2015"",""24.0"",""17"",""10"",""58.82"",""0.03"",""0.0"",""1.76"",""100.0"",""0.0"",""0.0"",""Final"""
"professionaldigitalcameras.net,""16-May-2015"",""12.0"",""13"",""7"",""53.84"",""0.01"",""0.0"",""0.76"",""100.0"",""0.0"",""0.0"",""Final"""
"prorealtyflorida.com,""16-May-2015"",""11.0"",""10"",""7"",""70.0"",""0.01"",""0.0"",""1.0"",""100.0"",""0.0"",""0.0"",""Final"""
"purpleduvetcover.net,""16-May-2015"",""32.0"",""23"",""19"",""82.6"",""0.14"",""0.0"",""6.08"",""100.0"",""0.0"",""0.0"",""Final"""
"realslendertonereviews.com,""16-May-2015"",""101.0"",""69"",""40"",""57.97"",""1.94"",""0.04"",""28.11"",""100.0"",""0.0"",""0.0"",""Final"""
"remarketingunleashed.com,""16-May-2015"",""9.0"",""18"",""10"",""55.55"",""0.03"",""0.0"",""1.66"",""100.0"",""0.0"",""0.0"",""Final"""
"restaurantsregistry.com,""16-May-2015"",""14.0"",""9"",""3"",""33.33"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"retargetingunleashed.com,""16-May-2015"",""12.0"",""9"",""8"",""88.88"",""0.08"",""0.01"",""8.88"",""100.0"",""0.0"",""0.0"",""Final"""
"rockstartrucking.com,""16-May-2015"",""229.0"",""253"",""151"",""59.68"",""6.25"",""0.04"",""24.7"",""100.0"",""0.0"",""0.0"",""Final"""
"rockstartshirts.com,""16-May-2015"",""11.0"",""12"",""12"",""100.0"",""0.16"",""0.01"",""13.33"",""100.0"",""0.0"",""0.0"",""Final"""
"romantichotelsinlosangeles.com,""16-May-2015"",""262.0"",""251"",""162"",""64.54"",""2.36"",""0.01"",""9.4"",""100.0"",""0.0"",""0.0"",""Final"""
"saveuplumbing.com,""16-May-2015"",""13.0"",""14"",""5"",""35.71"",""0.04"",""0.0"",""2.85"",""100.0"",""0.0"",""0.0"",""Final"""
"seaglasspropertymanagement.com,""16-May-2015"",""22.0"",""16"",""5"",""31.25"",""0.03"",""0.0"",""1.87"",""100.0"",""0.0"",""0.0"",""Final"""
"sendchocolatesonline.com,""16-May-2015"",""17.0"",""14"",""10"",""71.42"",""0.01"",""0.0"",""0.71"",""100.0"",""0.0"",""0.0"",""Final"""
"shadowbucks.com,""16-May-2015"",""21.0"",""13"",""9"",""69.23"",""0.02"",""0.0"",""1.53"",""100.0"",""0.0"",""0.0"",""Final"""
"shirtalert.net,""16-May-2015"",""11.0"",""10"",""9"",""90.0"",""0.07"",""0.0"",""7.0"",""100.0"",""0.0"",""0.0"",""Final"""
